p1 (interpolated wth step=1e-10) X,p1 (interpolated wth step=1e-10) Y
0,0.3661769570884184
1e-10,0.3661769792190902
2e-10,0.3661769670153859
3e-10,0.3661769203623888
4e-10,0.3661768832646521
5e-10,0.3661769048635153
6e-10,0.3661769264623784
7e-10,0.3661769480612416
7.999999999999999e-10,0.3661769696601047
8.999999999999999e-10,0.3661769912589679
9.999999999999999e-10,0.366177012857831
1.1e-09,0.3661770344566941
1.2e-09,0.3661770560555573
1.3e-09,0.366177036148381
1.4e-09,0.3661770139645022
1.5e-09,0.3661769917806233
1.6e-09,0.3661769695967445
1.7e-09,0.3661769474128656
1.8e-09,0.3661769252289867
1.9e-09,0.3661769030451079
2.000000000000001e-09,0.366176880861229
2.100000000000001e-09,0.3661768586773501
2.200000000000001e-09,0.3661768364934713
2.300000000000001e-09,0.3661768599419001
2.400000000000001e-09,0.366176885893367
2.500000000000001e-09,0.3661769118448338
2.600000000000001e-09,0.3661769377963007
2.700000000000001e-09,0.3661769637477675
2.800000000000001e-09,0.3661769896992343
2.900000000000001e-09,0.3661770156507012
3.000000000000001e-09,0.366177041602168
3.100000000000001e-09,0.3661770675536348
3.200000000000001e-09,0.3661770935051017
3.300000000000001e-09,0.3661770667924002
3.400000000000001e-09,0.3661770371909469
3.500000000000002e-09,0.3661770075894936
3.600000000000002e-09,0.3661769779880402
3.700000000000002e-09,0.3661769483865869
3.800000000000002e-09,0.3661769187851336
3.900000000000002e-09,0.3661768891836802
4.000000000000002e-09,0.366176859582227
4.100000000000002e-09,0.3661768299807736
4.200000000000002e-09,0.3661768003793203
4.300000000000002e-09,0.3661768308125473
4.400000000000002e-09,0.3661768645388157
4.500000000000002e-09,0.3661768982650842
4.600000000000002e-09,0.3661769319913527
4.700000000000002e-09,0.3661769657176212
4.800000000000002e-09,0.3661769994438897
4.900000000000003e-09,0.3661770331701582
5.000000000000003e-09,0.3661770668964267
5.100000000000003e-09,0.3661771006226951
5.200000000000003e-09,0.3661771343489636
5.300000000000003e-09,0.3661770996568611
5.400000000000003e-09,0.3661770612118522
5.500000000000003e-09,0.3661770227668433
5.600000000000003e-09,0.3661769843218344
5.700000000000003e-09,0.3661769458768255
5.800000000000003e-09,0.3661769074318166
5.900000000000003e-09,0.3661768689868077
6.000000000000003e-09,0.3661768305417988
6.100000000000003e-09,0.3661767920967899
6.200000000000003e-09,0.366176753651781
6.300000000000003e-09,0.3661767932043103
6.400000000000004e-09,0.3661768370351856
6.500000000000004e-09,0.3661768808660608
6.600000000000004e-09,0.3661769246969361
6.700000000000004e-09,0.3661769685278113
6.800000000000004e-09,0.3661770123586865
6.900000000000004e-09,0.3661770561895618
7.000000000000004e-09,0.3661771000204371
7.100000000000004e-09,0.3661771438513123
7.200000000000004e-09,0.3661771876821876
7.300000000000004e-09,0.3661771425825471
7.400000000000004e-09,0.3661770926048614
7.500000000000004e-09,0.3661770426271758
7.600000000000004e-09,0.3661769926494902
7.700000000000003e-09,0.3661769426718045
7.800000000000002e-09,0.3661768926941188
7.900000000000001e-09,0.3661768427164332
8e-09,0.3661767927387475
8.1e-09,0.3661767427610619
8.199999999999999e-09,0.3661766927833762
8.299999999999998e-09,0.366176744213821
8.399999999999997e-09,0.366176801206737
8.499999999999997e-09,0.366176858199653
8.599999999999996e-09,0.3661769151925691
8.699999999999995e-09,0.3661769721854851
8.799999999999994e-09,0.3661770291784011
8.899999999999994e-09,0.3661770861713171
8.999999999999993e-09,0.3661771431642332
9.099999999999992e-09,0.3661772001571492
9.199999999999991e-09,0.3661772571500652
9.299999999999991e-09,0.3661771814940191
9.39999999999999e-09,0.3661770985618697
9.499999999999989e-09,0.3661770156297202
9.599999999999988e-09,0.3661769326975707
9.699999999999988e-09,0.3661768497654213
9.799999999999987e-09,0.3661767668332718
9.899999999999986e-09,0.3661766839011223
9.999999999999985e-09,0.3661766009689729
1.009999999999998e-08,0.4144151510576767
1.019999999999998e-08,0.1365458951512692
1.029999999999998e-08,0.06652858926098641
1.039999999999998e-08,0.04599139806045961
1.049999999999998e-08,0.0329333874232029
1.059999999999998e-08,0.02321759609337463
1.069999999999998e-08,0.01719581424451106
1.079999999999998e-08,0.01194805275636551
1.089999999999998e-08,0.009059573095765477
1.099999999999998e-08,0.006858993424514667
1.109999999999998e-08,0.005458763000087373
1.119999999999998e-08,0.004058532575660079
1.129999999999998e-08,0.00306348083703419
1.139999999999997e-08,0.002748892677597128
1.149999999999997e-08,0.002434304518160066
1.159999999999997e-08,0.002119716358723004
1.169999999999997e-08,0.001805128199285942
1.179999999999997e-08,0.00149054003984888
1.189999999999997e-08,0.001175951880411819
1.199999999999997e-08,0.0008613637209747564
1.209999999999997e-08,0.0008550169873518449
1.219999999999997e-08,0.0008899848364987147
1.229999999999997e-08,0.0009249526856455845
1.239999999999997e-08,0.0009599205347924544
1.249999999999997e-08,0.0009948883839393241
1.259999999999997e-08,0.001029856233086194
1.269999999999996e-08,0.001063045981068753
1.279999999999996e-08,0.001053802779012881
1.289999999999996e-08,0.00104455957695701
1.299999999999996e-08,0.001035316374901138
1.309999999999996e-08,0.001026073172845266
1.319999999999996e-08,0.001016829970789394
1.329999999999996e-08,0.001007586768733522
1.339999999999996e-08,0.0009983435666776506
1.349999999999996e-08,0.0009891003646217787
1.359999999999996e-08,0.0009798571625659069
1.369999999999996e-08,0.0009710479707712591
1.379999999999996e-08,0.0009725960837803936
1.389999999999996e-08,0.0009741441967895282
1.399999999999995e-08,0.0009756923097986628
1.409999999999995e-08,0.0009772404228077973
1.419999999999995e-08,0.0009787885358169318
1.429999999999995e-08,0.0009803366488260663
1.439999999999995e-08,0.000981884761835201
1.449999999999995e-08,0.0009834328748443354
1.459999999999995e-08,0.0009849809878534699
1.469999999999995e-08,0.0009863460656336657
1.479999999999995e-08,0.0009833431553146676
1.489999999999995e-08,0.0009803402449956695
1.499999999999995e-08,0.0009773373346766716
1.509999999999995e-08,0.0009743344243576734
1.519999999999995e-08,0.0009713315140386753
1.529999999999995e-08,0.0009683286037196773
1.539999999999995e-08,0.0009653256934006792
1.549999999999995e-08,0.000962322783081681
1.559999999999995e-08,0.000959319872762683
1.569999999999996e-08,0.0009564830829223056
1.579999999999996e-08,0.0009576106243085042
1.589999999999996e-08,0.0009587381656947029
1.599999999999996e-08,0.0009598657070809015
1.609999999999996e-08,0.0009609932484671001
1.619999999999996e-08,0.0009621207898532988
1.629999999999996e-08,0.0009632483312394974
1.639999999999996e-08,0.000964375872625696
1.649999999999996e-08,0.0009655034140118947
1.659999999999996e-08,0.0009666309553980933
1.669999999999996e-08,0.0009676379638241259
1.679999999999997e-08,0.0009657685503798141
1.689999999999997e-08,0.0009638991369355023
1.699999999999997e-08,0.0009620297234911904
1.709999999999997e-08,0.0009601603100468786
